genus	FT	CT	BT	FW	CW	BW
norank_o__Candidatus_Komeilibacteria	0	0	0	9.833333333	0.833333333	0
norank_o__Flavobacteriales	10.33333333	0.166666667	0	0	0	0
Limimaricola	3.666666667	0	0.5	6.333333333	0	0
Woeseia	0	10	0.5	0	0	0
norank_o__Dadabacteriales	0	7.5	0.333333333	1.666666667	0.833333333	0
Lysinibacillus	10.33333333	0	0	0	0	0
Henriciella	1.166666667	0.666666667	0	5.833333333	2.666666667	0
norank_f__SAR116_clade	0	0	0	7.833333333	2.5	0
Bdellovibrio	1.166666667	5.833333333	1	1.833333333	0.333333333	0
norank_o__Rhizobiales	10.16666667	0	0	0	0	0
Bosea	9.833333333	0	0	0	0	0
norank_f__Ectothiorhodospiraceae	0	0	0	9.833333333	0	0
Marinicella	6.666666667	0.5	0.333333333	2.333333333	0	0
norank_o__Microtrichales	2.166666667	4.833333333	0	0	2.666666667	0
Formosa	5	0	0	0.5	4.166666667	0
Massilia	9.333333333	0.333333333	0	0	0	0
norank_f__cvE6	0	0	0	7.5	2	0
norank_f__NS11-12_marine_group	0.333333333	6.833333333	2.166666667	0	0	0
norank_o__KI89A_clade	0	8.333333333	0.166666667	0.833333333	0	0
unclassified_o__Cellvibrionales	4.833333333	4.166666667	0	0	0.166666667	0
unclassified_o__Babeliales	0.166666667	0	0	8.833333333	0	0
Lutibacter	0	7.833333333	0	0	1	0
norank_o__Candidatus_Terrybacteria	0	0	0	8.5	0.333333333	0
Balneola	8.333333333	0.333333333	0	0	0	0
Anaerotruncus	8.5	0	0	0	0	0
Aeromonas	8.5	0	0	0	0	0
Comamonas	7.666666667	0.833333333	0	0	0	0
norank_o__Ga0077536	3.833333333	0	0	4.666666667	0	0
Kocuria	8.333333333	0	0	0	0	0
unclassified_f__Solimonadaceae	2.833333333	5.5	0	0	0	0
Thiobacimonas	8.166666667	0	0	0	0	0
Acidovorax	8	0	0	0	0	0
unclassified_f__Cellvibrionaceae	3.5	4.333333333	0	0	0	0
Stenotrophomonas	6.833333333	0	0	0	1	0
Thermus	7.666666667	0	0	0	0	0
Parvularcula	0.666666667	4.833333333	0	1.333333333	0.833333333	0
norank_f__Holosporaceae	0	0	0	7	0	0.333333333
HIMB11	4.166666667	0	0	3.166666667	0	0
Pseudooceanicola	6.166666667	1.166666667	0	0	0	0
Litorilituus	7.333333333	0	0	0	0	0
norank_o__CHAB-XI-27	0	0.333333333	0	3.666666667	3.333333333	0
unclassified_f__Dermacoccaceae	7.166666667	0	0	0	0	0
norank_o__Candidatus_Woesebacteria	0	0	0	6	1.166666667	0
Roseivivax	0	0	0	7.166666667	0	0
Ilumatobacter	1.5	3.166666667	2.333333333	0	0	0
Olleya	0	0	0	0	7	0
norank_f__Stappiaceae	0	0	0	7	0	0
norank_f__AEGEAN-169_marine_group	2.5	0	0	4.5	0	0
unclassified_f__Enterobacteriaceae	6.5	0	0	0	0.5	0
norank_o__Candidatus_Yanofskybacteria	0	0	0	5.833333333	1	0
Oceanicaulis	2.166666667	0.666666667	0	1.666666667	2.333333333	0
Desulfotalea	6.666666667	0	0	0	0	0
Faecalibacterium	6.666666667	0	0	0	0	0
norank_o__Micavibrionales	4.5	0.5	0	1.333333333	0.333333333	0
Sedimentitalea	0	6.666666667	0	0	0	0
norank_f__Alteromonadaceae	2.166666667	3.666666667	0	0	0.833333333	0
Alkalimarinus	6.666666667	0	0	0	0	0
Vulcaniibacterium	6.666666667	0	0	0	0	0
ML602J-51	0	0	0	0	6.333333333	0
norank_f__Vermiphilaceae	0	0.333333333	0	3.5	2.5	0
Stappia	2.666666667	3.666666667	0	0	0	0
Sumerlaea	3.833333333	0	2.166666667	0.333333333	0	0
Bernardetia	6.166666667	0	0	0	0	0
unclassified_f__Intrasporangiaceae	6	0	0	0	0	0
Octadecabacter	6	0	0	0	0	0
unclassified_f__Vibrionaceae	0	5.5	0	0	0.5	0
Aquimonas	0	5.833333333	0	0	0	0
norank_o__Candidatus_Peregrinibacteria	0.5	0.666666667	0	2.5	2	0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	5.5	0.166666667	0	0	0	0
Denitromonas	5.666666667	0	0	0	0	0
norank_o__Chitinophagales	4.333333333	0.333333333	0.333333333	0.5	0	0
norank_f__UBA12409	0	0	0	5.166666667	0.333333333	0
unclassified_o__Lachnospirales	5.5	0	0	0	0	0
Salinirepens	1	4.333333333	0	0	0	0
norank_f__Desulfovibrionaceae	5.333333333	0	0	0	0	0
Litorimonas	3.5	0.833333333	0	0.333333333	0.333333333	0.333333333
norank_f__Rickettsiaceae	0.833333333	1.5	0	2.666666667	0.333333333	0
Simiduia	5.333333333	0	0	0	0	0
Escherichia-Shigella	5.333333333	0	0	0	0	0
Amphritea	3.333333333	2	0	0	0	0
unclassified_f__Ilumatobacteraceae	0	0	0	0	5.166666667	0
Colwellia	2.333333333	2.833333333	0	0	0	0
unclassified_f__Pseudoalteromonadaceae	2	2.666666667	0.333333333	0	0.166666667	0
Roseibacillus	0	0.666666667	0	0	3.833333333	0.666666667
Cloacibacterium	5	0	0	0	0	0
Skermanella	5	0	0	0	0	0
Marinagarivorans	3.666666667	1.333333333	0	0	0	0
LD29	0	0	0	5	0	0
norank_o__Vicinamibacterales	4.5	0.166666667	0	0.166666667	0	0
unclassified_f__Crocinitomicaceae	4.166666667	0	0	0.333333333	0.333333333	0
Aliikangiella	4.166666667	0	0.666666667	0	0	0
Pontibacterium	4.833333333	0	0	0	0	0
norank_f__Muribaculaceae	4.166666667	0	0	0	0.5	0
norank_o__NRL2	2.666666667	0.5	0	1.5	0	0
unclassified_o__Rhizobiales	0	1.666666667	0.666666667	1.333333333	1	0
Atopostipes	4.5	0	0	0	0	0
unclassified_c__Bacilli	0	0	0	4.5	0	0
Candidatus_Tenderia	2.333333333	0	0	2.166666667	0	0
Finegoldia	4.333333333	0	0	0	0	0
norank_f__Leptotrichiaceae	0	0	0	4.333333333	0	0
Candidatus_Puniceispirillum	0	0	0	4.333333333	0	0
Limibaculum	0	4.333333333	0	0	0	0
Parasphingopyxis	0	0	0	4.333333333	0	0
Chromatocurvus	4.333333333	0	0	0	0	0
Mycobacterium	0.833333333	0.666666667	0	1.666666667	1	0
unclassified_f__Lachnospiraceae	2.5	0.166666667	0	1.166666667	0.333333333	0
norank_f__Arcobacteraceae	4	0	0	0	0	0
Rikenella	3.833333333	0	0	0	0	0
Chryseobacterium	3.5	0	0	0	0.333333333	0
Hellea	0	0	0	3.833333333	0	0
unclassified_f__Stappiaceae	0	1	0	2.166666667	0.666666667	0
unclassified_f__Spongiibacteraceae	2.333333333	1.5	0	0	0	0
unclassified_o__Oceanospirillales	0.333333333	1.833333333	1.333333333	0.333333333	0	0
Rubritalea	2.333333333	0	0.833333333	0	0.666666667	0
Malaciobacter	3.666666667	0	0	0	0	0
Truepera	3	0.666666667	0	0	0	0
Paenisporosarcina	0	0	0	3.666666667	0	0
norank_o__Candidatus_Nomurabacteria	0	0	0	3.166666667	0.5	0
Sphingopyxis	2.833333333	0.833333333	0	0	0	0
unclassified_f__Oxalobacteraceae	0	2	0	1.666666667	0	0
Haemophilus	3.666666667	0	0	0	0	0
norank_o__SAR86_clade	0.333333333	0	0	3.333333333	0	0
Lysobacter	0	2.333333333	0	0.666666667	0.666666667	0
Saccharopolyspora	3.166666667	0	0	0	0.333333333	0
Rubrivirga	1.166666667	1	0.5	0	0.833333333	0
Blastopirellula	0	0.333333333	1.833333333	0	0	1.333333333
Candidatus_Methylopumilus	3.5	0	0	0	0	0
Teredinibacter	1.5	2	0	0	0	0
Litoribacillus	3.5	0	0	0	0	0
CL500-29_marine_group	0	0	0	3.333333333	0	0
Actinomyces	3.333333333	0	0	0	0	0
unclassified_f__Cryomorphaceae	0	0	3	0.333333333	0	0
norank_f__Clade_III	0.333333333	0	0	3	0	0
Moritella	3.333333333	0	0	0	0	0
Nitrosomonas	0	1.333333333	0	2	0	0
mle1-7	0	0	0	3.333333333	0	0
Dechloromonas	3.333333333	0	0	0	0	0
Kosakonia	3.333333333	0	0	0	0	0
unclassified_o__Chlamydiales	0	0.833333333	0	2.5	0	0
Pseudonocardia	1.666666667	1.5	0	0	0	0
norank_f__Bacteriovoracaceae	0	2.833333333	0	0.333333333	0	0
Cyanobium_PCC-6307	0	0	0	1.833333333	1.333333333	0
norank_f__Eubacterium_coprostanoligenes_group	3.166666667	0	0	0	0	0
Methylobacterium-Methylorubrum	3.166666667	0	0	0	0	0
Aestuariihabitans	0	2	0	0	1.166666667	0
Thalassospira	3.166666667	0	0	0	0	0
unclassified_o__Alteromonadales	0	0	3.166666667	0	0	0
Aquicella	0	0	0	1.666666667	1.166666667	0.333333333
norank_o__EV818SWSAP88	0	0	0	2.333333333	0.833333333	0
Varibaculum	3	0	0	0	0	0
unclassified_o__Cyanobacteriales	3	0	0	0	0	0
norank_o__Babeliales	0	0	0	3	0	0
norank_o__Defluviicoccales	0	0.5	0	2.5	0	0
Lentilitoribacter	0.333333333	2.333333333	0	0	0.333333333	0
MD3-55	0	0	0	3	0	0
norank_f__Microtrichaceae	1.666666667	0.666666667	0	0.5	0	0
NS4_marine_group	1.666666667	0	0	0.833333333	0.333333333	0
norank_f__Balneolaceae	0	0	0	2.833333333	0	0
Oscillibacter	2.833333333	0	0	0	0	0
Algimonas	0	2.166666667	0	0.666666667	0	0
norank_f__Paracaedibacteraceae	0.333333333	1.5	0	1	0	0
unclassified_f__Xanthobacteraceae	2.833333333	0	0	0	0	0
Psychromonas	2.833333333	0	0	0	0	0
HTCC5015	2.166666667	0	0	0.666666667	0	0
Litoricola	0	0	0	2.833333333	0	0
Grimontia	2.833333333	0	0	0	0	0
norank_f__Ruminococcaceae	2.666666667	0	0	0	0	0
Fusobacterium	2.666666667	0	0	0	0	0
Haliangium	0	0.666666667	1.5	0.5	0	0
Candidatus_Saccharimonas	2.166666667	0	0	0	0.5	0
norank_c__WWE3	0	0	0	2.166666667	0.5	0
norank_f__Diplorickettsiaceae	0	0	0	2.666666667	0	0
Klebsiella	2.666666667	0	0	0	0	0
Oleiphilus	2.333333333	0	0	0.333333333	0	0
norank_f__Thiotrichaceae	0	0	0	2.666666667	0	0
Leptotrichia	2.5	0	0	0	0	0
Parvibaculum	2.5	0	0	0	0	0
Paraglaciecola	0	0	0	0.5	2	0
Candidatus_Berkiella	0	0	0	1.333333333	1.166666667	0
norank_c__Gammaproteobacteria	0	2	0	0	0.5	0
Mobiluncus	2.333333333	0	0	0	0	0
Emticicia	2.333333333	0	0	0	0	0
norank_f__Rhodothermaceae	0.333333333	1	0	1	0	0
Pseudahrensia	2.333333333	0	0	0	0	0
